search_term,sp500no,Company Name,link
Texas Instruments,447,Texas Instruments Incorporated,https://www.youtube.com/c/texasinstruments
Textron,448,Textron Inc.,https://www.youtube.com/user/TextronInc
Under Armour,450,"Under Armour, Inc. Class A",https://www.youtube.com/user/underarmour
United Airlines Holdings,451,"United Airlines Holdings, Inc.",https://www.youtube.com/user/united
Ulta Beauty,454,Ulta Beauty Inc,https://www.youtube.com/user/ultabeauty
Union Pacific,457,Union Pacific Corporation,https://www.youtube.com/c/unionpacific
United Parcel Service,458,"United Parcel Service, Inc. Class B",https://www.youtube.com/c/ups
U.S. Bancorp,460,U.S. Bancorp,https://www.youtube.com/c/usbank
Visa,461,Visa Inc. Class A,https://www.youtube.com/c/Visa
VF,462,V.F. Corporation,https://www.youtube.com/user/VFCorporation
ViacomCBS,463,ViacomCBS Inc. Class B,https://www.youtube.com/channel/UCKehNLhUKygfBjrsdIKB6iQ
Valero Energy,464,Valero Energy Corporation,https://www.youtube.com/user/ValeroEnergy1
Vulcan Materials Company,465,Vulcan Materials Company,https://www.youtube.com/user/VulcanCorporate/videos
Verisign,468,"VeriSign, Inc.",https://www.youtube.com/user/verisign
Verizon Communications,472,Verizon Communications Inc.,https://www.youtube.com/c/verizon
Westinghouse Air Brake Technologies,473,Westinghouse Air Brake Technologies Corporation,https://www.youtube.com/user/WabtecCorp
Waters Corporation,474,Waters Corporation,https://www.youtube.com/user/WatersCorporation
Western Digital,476,Western Digital Corporation,https://www.youtube.com/channel/UCQpijqbZeCM3zLew0ZwiX4A
Wells Fargo,479,Wells Fargo & Company,https://www.youtube.com/user/wellsfargo
Waste Management,482,"Waste Management, Inc.",https://www.youtube.com/user/wastemanagement
Walmart,484,Walmart Inc.,https://www.youtube.com/c/walmart
WestRock,486,WestRock Company,https://www.youtube.com/channel/UCcISYil7zJuGXQ3MxP2IgDA
Western Union Company,488,Western Union Company,https://www.youtube.com/c/westernunion
Wynn Resorts,490,"Wynn Resorts, Limited",https://www.youtube.com/c/wynnlasvegas
Xcel Energy,491,Xcel Energy Inc.,https://www.youtube.com/c/XcelEnergyInYourCommunity
Xilinx,492,"Xilinx, Inc.",https://www.youtube.com/user/XilinxInc
